id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,167365.0383,495.6,16,29,0.530031806,0.36556285,2.797335699,0.758005201,gaze,,,,167365.03828 167365.04668 167365.06348 167365.07188 167365.08028 167365.08868 167365.09708 167365.10548 167365.12228 167365.13068 167365.13908 167365.14748 167365.15588 167365.17268 167365.18108 167365.18948 167365.20628 167365.21468 167365.22308 167365.23148 167365.23988 167365.26508 167365.27348 167365.28188 167365.29868 167365.30708 167365.32388 167365.34068 167365.34908 167365.35748 167365.36588 167365.37428 167365.39108 167365.39948 167365.41628 167365.42468 167365.44148 167365.44988 167365.45828 167365.46668 167365.49188 167365.50028 167365.50868 167365.51708 167365.52548 167365.53388
1,167366.2899,369.6,47,57,0.560198681,0.258462021,2.890018471,0.653778027,gaze,,,,167366.28988 167366.30668 167366.31508 167366.32348 167366.33188 167366.35708 167366.36548 167366.37388 167366.38228 167366.39068 167366.39908 167366.40748 167366.41588 167366.42428 167366.43268 167366.44108 167366.44948 167366.46628 167366.47468 167366.48308 167366.49148 167366.49988 167366.53348 167366.54188 167366.55028 167366.56708 167366.57548 167366.58388 167366.60908 167366.61748 167366.62588 167366.65108 167366.65948
2,167367.3231,302.4,74,82,0.413314343,0.330963523,2.702952851,0.671478693,gaze,,,,167367.32308 167367.33988 167367.34828 167367.36508 167367.39028 167367.40708 167367.41548 167367.43228 167367.46588 167367.49108 167367.52468 167367.53308 167367.55828 167367.56668 167367.57508 167367.58348 167367.59188 167367.60028 167367.62548
3,167370.1119,495.6,144,157,0.61058084,0.322711976,1.769281064,0.710337949,gaze,,,,167370.11188 167370.12868 167370.14548 167370.15388 167370.17068 167370.17908 167370.19588 167370.20428 167370.21268 167370.22108 167370.23788 167370.24628 167370.25468 167370.26308 167370.27148 167370.28828 167370.29668 167370.31348 167370.32188 167370.33028 167370.33868 167370.34708 167370.35548 167370.36388 167370.37228 167370.38068 167370.38908 167370.39748 167370.41428 167370.42268 167370.43948 167370.44788 167370.45628 167370.46468 167370.47308 167370.48148 167370.48988 167370.49828 167370.51508 167370.52348 167370.54028 167370.54868 167370.55708 167370.56548 167370.58228 167370.59068 167370.59908 167370.60748
4,167374.6479,302.4,261,268,0.528781849,0.513132272,2.94562663,0.858830096,gaze,,,,167374.64788 167374.65628 167374.66468 167374.67308 167374.68148 167374.68988 167374.70668 167374.71508 167374.72348 167374.73188 167374.74028 167374.74868 167374.75708 167374.76548 167374.77388 167374.79068 167374.79908 167374.80748 167374.82428 167374.83268 167374.84108 167374.85788 167374.86628 167374.87468 167374.88308 167374.89148 167374.89988 167374.91668 167374.93348 167374.94188 167374.95028
5,167377.2771,428.4,327,338,0.597697826,0.4628614,2.929218101,0.781427262,gaze,,,,167377.27708 167377.28548 167377.29388 167377.31068 167377.32748 167377.33588 167377.34428 167377.35268 167377.36948 167377.37788 167377.38628 167377.40308 167377.41148 167377.41988 167377.42828 167377.43668 167377.46188 167377.47028 167377.47868 167377.48708 167377.49548 167377.51228 167377.52908 167377.53748 167377.54588 167377.55428 167377.57108 167377.57948 167377.59628 167377.60468 167377.61308 167377.62148 167377.62988 167377.63828 167377.64668 167377.65508 167377.66348 167377.68028 167377.68868 167377.69708 167377.70548
6,167379.9987,302.4,396,404,0.623314705,0.382637183,2.217094645,0.769669173,gaze,,,,167379.99868 167380.01548 167380.03228 167380.04068 167380.04908 167380.05748 167380.07428 167380.08268 167380.09108 167380.09948 167380.10788 167380.11628 167380.12468 167380.13308 167380.14988 167380.15828 167380.16668 167380.18348 167380.19188 167380.20868 167380.21708 167380.22548 167380.23388 167380.24228 167380.25068 167380.25908 167380.26748 167380.27588 167380.28428 167380.30108
7,167382.2919,420,454,464,0.596076303,0.648929544,2.975127845,0.915447507,gaze,,,,167382.29188 167382.30028 167382.30868 167382.31708 167382.32548 167382.33388 167382.35068 167382.36748 167382.37588 167382.38428 167382.39268 167382.40108 167382.40948 167382.42628 167382.43468 167382.44308 167382.45148 167382.45988 167382.46828 167382.47668 167382.48508 167382.50188 167382.51868 167382.52708 167382.53548 167382.54388 167382.55228 167382.56068 167382.56908 167382.59428 167382.60268 167382.61108 167382.61948 167382.63628 167382.64468 167382.66148 167382.66988 167382.68668 167382.69508 167382.70348 167382.71188
8,167385.8451,352.8,543,551,0.706781726,0.597920445,2.117723679,0.908034208,gaze,,,,167385.84508 167385.85348 167385.86188 167385.87028 167385.88708 167385.89548 167385.91228 167385.92068 167385.92908 167385.93748 167385.94588 167385.95428 167385.96268 167385.97108 167385.98788 167385.99628 167386.00468 167386.01308 167386.02148 167386.02988 167386.03828 167386.04668 167386.05508 167386.07188 167386.08028 167386.08868 167386.09708 167386.10548 167386.11388 167386.13068 167386.13908 167386.14748 167386.15588 167386.16428 167386.17268 167386.18108 167386.19788
9,167387.0295,302.4,572,579,0.491875912,0.247357696,2.977197088,0.742905676,gaze,,,,167387.02948 167387.03788 167387.06308 167387.07148 167387.07988 167387.09668 167387.10508 167387.11348 167387.12188 167387.13028 167387.13868 167387.14708 167387.15548 167387.16388 167387.18068 167387.18908 167387.19748 167387.20588 167387.22268 167387.23108 167387.23948 167387.24788 167387.26468 167387.27308 167387.28148 167387.29828 167387.31508 167387.32348 167387.33188
