id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,317397.3432,226.8000001,28,34,0.581599234,0.315976193,2.555108673,0.917198096,gaze,,,,317397.343196 317397.376796 317397.389396 317397.406196 317397.410396 317397.41879599995 317397.422996 317397.435596 317397.45239600004 317397.473396 317397.485996 317397.498596 317397.506996 317397.523796 317397.532196 317397.54899599997 317397.56999600003
1,317399.8716,210,84,89,0.523163526,0.142114564,2.485488815,0.969991055,gaze,,,,317399.87159600004 317399.884196 317399.905196 317399.913596 317399.917796 317399.926196 317399.93039600004 317399.947196 317399.951396 317399.95559599996 317399.959796 317399.980796 317399.984996 317399.997596 317400.01859600004 317400.039596 317400.05639599997 317400.068996 317400.081596
2,317402.589,369.6,141,149,0.459434105,0.488507736,2.928872397,0.890782296,gaze,,,,317402.588996 317402.651996 317402.660396 317402.677196 317402.68139599997 317402.70239600004 317402.706596 317402.73179600004 317402.74019599997 317402.74439600005 317402.752796 317402.76119600004 317402.773796 317402.794796 317402.80319600005 317402.81999600003 317402.82839599997 317402.84519599995 317402.876575 317402.901775 317402.90399599995 317402.912396 317402.920796 317402.924996 317402.93339599995 317402.935375 317402.94599599997 317402.954396 317402.958596
3,317404.2038,304.621,175,182,0.498951383,0.817715827,2.40592048,0.939692772,gaze,,,,317404.203775 317404.220575 317404.222796 317404.228975 317404.231196 317404.243796 317404.25639600004 317404.260596 317404.273196 317404.28159599996 317404.285796 317404.289996 317404.298396 317404.310996 317404.319396 317404.327796 317404.336196 317404.34039599996 317404.348796 317404.35719600006 317404.361396 317404.365596 317404.382396 317404.390796 317404.403396 317404.411796 317404.420196 317404.428596 317404.43279600004 317404.436996 317404.445396 317404.45799599995 317404.466396 317404.474796 317404.478996 317404.487396 317404.495796 317404.49999599997 317404.508396
4,317405.3862,201.6,199,203,0.527343743,0.596031842,2.986328811,0.963804888,gaze,,,,317405.386196 317405.390396 317405.39459599997 317405.39879600005 317405.411396 317405.419796 317405.42399599997 317405.428196 317405.436596 317405.44499600003 317405.453396 317405.465996 317405.470196 317405.486996 317405.491196 317405.49959599995 317405.507996 317405.51219599997 317405.51639600005 317405.520596 317405.528996 317405.537396 317405.554196 317405.55839599995 317405.566796 317405.57099599997 317405.579396 317405.583596 317405.587796
5,317406.3984,378,220,227,0.571674365,0.215428012,2.598647602,0.946773896,gaze,,,,317406.39839600003 317406.40679599997 317406.410996 317406.415196 317406.42779600003 317406.431996 317406.44039600005 317406.444596 317406.448796 317406.45719600003 317406.46559599997 317406.473996 317406.478196 317406.486596 317406.499196 317406.503396 317406.511796 317406.51599600003 317406.520196 317406.536996 317406.541196 317406.549596 317406.55799600005 317406.566396 317406.570596 317406.57479600003 317406.58319599996 317406.595796 317406.608396 317406.612596 317406.61679600005 317406.629396 317406.637796 317406.646196 317406.658796 317406.667196 317406.67559600004 317406.683996 317406.688196 317406.696596 317406.704996 317406.721796 317406.725996 317406.73439600004 317406.742796 317406.746996 317406.75959599996 317406.763796 317406.772196 317406.776396
6,317407.4316,436.8,241,250,0.514083465,0.820682571,2.967418744,0.998496889,gaze,,,,317407.431596 317407.444196 317407.452596 317407.46939600003 317407.473596 317407.48199600005 317407.486196 317407.498796 317407.50719599996 317407.511396 317407.523996 317407.532396 317407.536596 317407.549196 317407.553396 317407.57019600004 317407.591196 317407.59959600004 317407.603796 317407.612196 317407.620596 317407.633196 317407.637396 317407.641596 317407.645796 317407.649996 317407.65839600004 317407.666796 317407.679396 317407.68359599996 317407.687796 317407.691996 317407.700396 317407.712996 317407.71719600004 317407.725596 317407.729796 317407.733996 317407.74659600004 317407.754996 317407.763396 317407.767596 317407.771796 317407.77599600004 317407.784396 317407.80119599996 317407.817996 317407.83479600004 317407.847396 317407.851596 317407.85999599996 317407.868396
7,317408.4396,289.8,261,267,0.642772092,0.624620948,2.702673073,0.949643678,gaze,,,,317408.439596 317408.443796 317408.44799599994 317408.46059599996 317408.468996 317408.473196 317408.477396 317408.481596 317408.48999599996 317408.498396 317408.506796 317408.510996 317408.515196 317408.531996 317408.536196 317408.544596 317408.54879599996 317408.557196 317408.565596 317408.57819599996 317408.58239600004 317408.590796 317408.594996 317408.603396 317408.611796 317408.615996 317408.632796 317408.64119600004 317408.649596 317408.657996 317408.662196 317408.674796 317408.678996 317408.683196 317408.687396 317408.695796 317408.704196 317408.716796 317408.720996 317408.72519599996 317408.729396
8,317409.8298,205.8000001,289,294,0.580502108,0.216339287,2.995292967,0.943940533,gaze,,,,317409.829796 317409.83819599997 317409.84239600005 317409.850796 317409.863396 317409.875996 317409.88439599995 317409.88859600003 317409.896996 317409.905396 317409.91799600003 317409.92639599997 317409.930596 317409.938996 317409.94739600003 317409.955796 317409.95999600005 317409.972596 317409.98519599997 317409.989396 317409.993596 317410.001996 317410.014596 317410.01879600005 317410.027196 317410.03559600003
9,317410.9008,886.1999999,311,329,0.519785192,0.874686455,2.367631395,0.990072692,gaze,,,,317410.90079600003 317410.904996 317410.921796 317410.93019600003 317410.94279600005 317410.946996 317410.955396 317410.95959600003 317410.972196 317410.980596 317410.98479599995 317410.993196 317411.00159600005 317411.009996 317411.014196 317411.022596 317411.039396 317411.043596 317411.047796 317411.06039600004 317411.068796 317411.077196 317411.081396 317411.08559599996 317411.102396 317411.106596 317411.114996 317411.11919600004 317411.123396 317411.135996 317411.14439599996 317411.152796 317411.161196 317411.169596 317411.17799600004 317411.186396 317411.194796 317411.198996 317411.207396 317411.211596 317411.215796 317411.224196 317411.23679600004 317411.249396 317411.253596 317411.257796 317411.26199599996 317411.270396 317411.278796 317411.282996 317411.291396 317411.299796 317411.316596 317411.329196 317411.333396 317411.337596 317411.341796 317411.345996 317411.35439600004 317411.362796 317411.366996 317411.371196 317411.37959599996 317411.383796 317411.387996 317411.392196 317411.404796 317411.41319600004 317411.425796 317411.434196 317411.442596 317411.446796 317411.455196 317411.463596 317411.47199600004 317411.48039599997 317411.484596 317411.492996 317411.505596 317411.51399600005 317411.522396 317411.526596 317411.534996 317411.547596 317411.551796 317411.564396 317411.568596 317411.576996 317411.581196 317411.58959600003 317411.59799599997 317411.602196 317411.610596 317411.623196 317411.63159600005 317411.639996 317411.65679599997 317411.660996 317411.669396 317411.681996 317411.686196 317411.69039600005 317411.694596 317411.70719600003 317411.71559599997 317411.719796 317411.723996 317411.732396 317411.744996 317411.74919600005 317411.761796 317411.770196 317411.77439599996 317411.782796 317411.786996
