id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,513524.3845,436.8,0,9,0.701099878,0.696609107,2.76315259,0.749214958,gaze,,,,513524.384521 513524.401321 513524.409721 513524.418121 513524.426521 513524.434921 513524.443321 513524.451721 513524.460121 513524.468521 513524.476921 513524.485321 513524.493721 513524.502121 513524.510521 513524.518921 513524.527321 513524.535721 513524.544121 513524.552521 513524.560921 513524.569321 513524.577721 513524.586121 513524.594521 513524.602921 513524.611321 513524.628121 513524.636521 513524.644921 513524.653321 513524.661721 513524.670121 513524.678521 513524.686921 513524.695321 513524.703721 513524.712121 513524.720521 513524.728921 513524.737321 513524.745721 513524.754121 513524.762521 513524.770921 513524.779321 513524.787721 513524.796121 513524.804521 513524.812921 513524.821321
1,513525.8209,688.8,32,48,0.55328919,0.183402388,2.856560417,0.488905473,gaze,,,,513525.820921 513525.846121 513525.854521 513525.862921 513525.871321 513525.879721 513525.888121 513525.896521 513525.904921 513525.913321 513525.921721 513525.930121 513525.938521 513525.946921 513525.955321 513525.963721 513525.972121 513525.980521 513525.988921 513525.997321 513526.005721 513526.014121 513526.022521 513526.030921 513526.039321 513526.047721 513526.056121 513526.064521 513526.072921 513526.081321 513526.089721 513526.098121 513526.106521 513526.114921 513526.123321 513526.131721 513526.148521 513526.156921 513526.165321 513526.173721 513526.182121 513526.190521 513526.198921 513526.207321 513526.215721 513526.224121 513526.232521 513526.240921 513526.249321 513526.257721 513526.266121 513526.274521 513526.282921 513526.291321 513526.299721 513526.308121 513526.316521 513526.324921 513526.333321 513526.341721 513526.350121 513526.358521 513526.366921 513526.375321 513526.383721 513526.392121 513526.400521 513526.408921 513526.417321 513526.425721 513526.434121 513526.442521 513526.450921 513526.459321 513526.467721 513526.476121 513526.484521 513526.492921 513526.501321 513526.509721
2,513527.4589,646.8,71,87,0.552173162,0.686015217,2.36666352,0.893386452,gaze,,,,513527.458921 513527.467321 513527.475721 513527.484121 513527.492521 513527.500921 513527.509321 513527.517721 513527.526121 513527.534521 513527.542921 513527.551321 513527.559721 513527.568121 513527.576521 513527.584921 513527.593321 513527.601721 513527.610121 513527.618521 513527.626921 513527.635321 513527.643721 513527.652121 513527.660521 513527.668921 513527.677321 513527.685721 513527.694121 513527.702521 513527.710921 513527.719321 513527.727721 513527.736121 513527.744521 513527.752921 513527.761321 513527.769721 513527.778121 513527.786521 513527.794921 513527.803321 513527.811721 513527.820121 513527.828521 513527.836921 513527.845321 513527.853721 513527.862121 513527.870521 513527.878921 513527.887321 513527.895721 513527.904121 513527.912521 513527.920921 513527.929321 513527.937721 513527.946121 513527.954521 513527.962921 513527.971321 513527.979721 513527.988121 513527.996521 513528.004921 513528.013321 513528.021721 513528.030121 513528.038521 513528.046921 513528.055321 513528.063721 513528.072121 513528.080521 513528.088921 513528.097321 513528.105721
3,513528.8701,302.4,106,114,0.567603193,0.453473885,2.972595789,0.687534487,gaze,,,,513528.870121 513528.878521 513528.886921 513528.895321 513528.903721 513528.912121 513528.920521 513528.928921 513528.937321 513528.945721 513528.954121 513528.962521 513528.970921 513528.979321 513528.987721 513528.996121 513529.004521 513529.012921 513529.021321 513529.029721 513529.038121 513529.046521 513529.054921 513529.063321 513529.071721 513529.080121 513529.088521 513529.096921 513529.105321 513529.113721 513529.122121 513529.130521 513529.138921 513529.147321 513529.155721 513529.164121 513529.172521
4,513530.0965,302.4,136,144,0.604032485,0.670816592,2.86590101,0.783919512,gaze,,,,513530.096521 513530.104921 513530.113321 513530.121721 513530.130121 513530.138521 513530.146921 513530.155321 513530.163721 513530.172121 513530.180521 513530.188921 513530.197321 513530.205721 513530.214121 513530.222521 513530.230921 513530.239321 513530.247721 513530.256121 513530.264521 513530.272921 513530.281321 513530.289721 513530.298121 513530.306521 513530.314921 513530.323321 513530.331721 513530.340121 513530.348521 513530.356921 513530.365321 513530.373721 513530.382121 513530.390521 513530.398921
5,513532.1629,403.2,190,199,0.533609741,0.459304582,2.713642551,0.401646123,gaze,,,,513532.162921 513532.171321 513532.179721 513532.188121 513532.196521 513532.204921 513532.213321 513532.221721 513532.230121 513532.238521 513532.246921 513532.255321 513532.263721 513532.272121 513532.280521 513532.288921 513532.297321 513532.305721 513532.314121 513532.322521 513532.330921 513532.339321 513532.347721 513532.356121 513532.364521 513532.372921 513532.381321 513532.389721 513532.398121 513532.406521 513532.414921 513532.423321 513532.431721 513532.440121 513532.448521 513532.456921 513532.465321 513532.473721 513532.482121 513532.490521 513532.498921 513532.515721 513532.524121 513532.532521 513532.549321 513532.557721 513532.566121
6,513534.8341,369.6,266,277,0.589009811,0.689054777,2.961548854,0.787066174,gaze,,,,513534.834121 513534.842521 513534.850921 513534.859321 513534.867721 513534.876121 513534.884521 513534.892921 513534.901321 513534.909721 513534.918121 513534.926521 513534.934921 513534.943321 513534.951721 513534.960121 513534.968521 513534.976921 513534.985321 513534.993721 513535.002121 513535.010521 513535.018921 513535.027321 513535.035721 513535.044121 513535.052521 513535.060921 513535.069321 513535.077721 513535.086121 513535.094521 513535.102921 513535.119721 513535.128121 513535.136521 513535.144921 513535.153321 513535.161721 513535.170121 513535.178521 513535.186921 513535.195321 513535.203721
7,513538.3957,361.2,367,375,0.603835729,0.454063689,2.639886284,0.809950306,gaze,,,,513538.395721 513538.404121 513538.412521 513538.420921 513538.437721 513538.446121 513538.454521 513538.462921 513538.471321 513538.479721 513538.488121 513538.496521 513538.504921 513538.513321 513538.521721 513538.530121 513538.538521 513538.546921 513538.555321 513538.563721 513538.572121 513538.580521 513538.588921 513538.597321 513538.605721 513538.614121 513538.622521 513538.630921 513538.639321 513538.647721 513538.656121 513538.664521 513538.672921 513538.681321 513538.689721 513538.698121 513538.706521 513538.714921 513538.723321 513538.731721 513538.748521 513538.756921
8,513541.1761,302.4,435,442,0.524534913,0.724884648,2.691206798,0.945900671,gaze,,,,513541.176121 513541.201321 513541.209721 513541.218121 513541.226521 513541.234921 513541.243321 513541.251721 513541.260121 513541.268521 513541.276921 513541.285321 513541.293721 513541.310521 513541.318921 513541.327321 513541.335721 513541.344121 513541.352521 513541.360921 513541.369321 513541.377721 513541.386121 513541.394521 513541.402921 513541.411321 513541.419721 513541.428121 513541.436521 513541.444921 513541.453321 513541.461721 513541.470121 513541.478521
9,513542.8645,697.2,474,491,0.526032002,0.416216229,2.730793984,0.570093308,gaze,,,,513542.864521 513542.872921 513542.881321 513542.889721 513542.898121 513542.906521 513542.914921 513542.923321 513542.931721 513542.940121 513542.948521 513542.956921 513542.965321 513542.973721 513542.982121 513542.990521 513542.998921 513543.007321 513543.015721 513543.024121 513543.032521 513543.040921 513543.049321 513543.057721 513543.066121 513543.074521 513543.082921 513543.091321 513543.099721 513543.108121 513543.116521 513543.124921 513543.133321 513543.141721 513543.150121 513543.158521 513543.166921 513543.175321 513543.183721 513543.192121 513543.200521 513543.208921 513543.217321 513543.225721 513543.234121 513543.242521 513543.250921 513543.259321 513543.267721 513543.276121 513543.284521 513543.292921 513543.301321 513543.309721 513543.318121 513543.326521 513543.334921 513543.343321 513543.351721 513543.360121 513543.368521 513543.376921 513543.385321 513543.393721 513543.402121 513543.410521 513543.418921 513543.427321 513543.435721 513543.444121 513543.452521 513543.460921 513543.469321 513543.477721 513543.486121 513543.494521 513543.502921 513543.511321 513543.519721 513543.528121 513543.536521 513543.544921 513543.553321 513543.561721
