id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,502732.3067,394.8,121,131,0.396200012,0.423694683,2.875546188,0.871811415,gaze,,,,502732.306667 502732.315067 502732.323467 502732.331867 502732.340267 502732.348667 502732.357067 502732.365467 502732.373867 502732.382267 502732.390667 502732.399067 502732.407467 502732.415867 502732.424267 502732.432667 502732.441067 502732.449467 502732.457867 502732.466267 502732.474667 502732.483067 502732.491467 502732.499867 502732.508267 502732.516667 502732.525067 502732.533467 502732.541867 502732.550267 502732.558667 502732.567067 502732.575467 502732.583867 502732.592267 502732.600667 502732.609067 502732.617467 502732.625867 502732.634267 502732.642667 502732.659467 502732.667867 502732.676267 502732.684667 502732.693067 502732.701467
1,502733.4911,302.4,153,160,0.290193765,0.439958138,2.91606935,0.934488435,gaze,,,,502733.491067 502733.499467 502733.507867 502733.516267 502733.524667 502733.533067 502733.541467 502733.549867 502733.558267 502733.566667 502733.575067 502733.583467 502733.591867 502733.600267 502733.608667 502733.617067 502733.625467 502733.633867 502733.650667 502733.659067 502733.667467 502733.675867 502733.684267 502733.692667 502733.701067 502733.709467 502733.717867 502733.726267 502733.734667 502733.743067 502733.751467 502733.759867 502733.768267 502733.776667 502733.785067 502733.793467
2,502735.5575,302.4,206,213,0.468139794,0.456568389,2.919763422,0.824108657,gaze,,,,502735.557467 502735.565867 502735.574267 502735.582667 502735.591067 502735.599467 502735.607867 502735.616267 502735.624667 502735.633067 502735.641467 502735.649867 502735.658267 502735.666667 502735.675067 502735.683467 502735.691867 502735.700267 502735.708667 502735.717067 502735.725467 502735.733867 502735.742267 502735.750667 502735.759067 502735.767467 502735.775867 502735.784267 502735.792667 502735.801067 502735.809467 502735.817867 502735.826267 502735.834667 502735.843067 502735.851467 502735.859867
3,502737.3215,369.6,252,261,0.469269044,0.353442293,2.949962257,0.830663211,gaze,,,,502737.321467 502737.329867 502737.338267 502737.346667 502737.355067 502737.363467 502737.371867 502737.380267 502737.388667 502737.397067 502737.405467 502737.413867 502737.422267 502737.447467 502737.455867 502737.464267 502737.472667 502737.481067 502737.489467 502737.497867 502737.506267 502737.514667 502737.523067 502737.531467 502737.539867 502737.548267 502737.556667 502737.565067 502737.573467 502737.581867 502737.590267 502737.598667 502737.607067 502737.615467 502737.623867 502737.632267 502737.640667 502737.649067 502737.657467 502737.665867 502737.674267 502737.682667 502737.691067
4,502739.7659,302.4,316,324,0.669632783,0.28200731,2.89608645,0.686566225,gaze,,,,502739.765867 502739.774267 502739.782667 502739.791067 502739.799467 502739.807867 502739.816267 502739.824667 502739.833067 502739.841467 502739.849867 502739.858267 502739.866667 502739.875067 502739.883467 502739.891867 502739.900267 502739.908667 502739.917067 502739.925467 502739.933867 502739.942267 502739.950667 502739.959067 502739.967467 502739.975867 502739.984267 502739.992667 502740.001067 502740.009467 502740.017867 502740.026267 502740.034667 502740.043067 502740.051467 502740.059867 502740.068267
5,502742.4035,352.8,385,393,0.572978418,0.332262596,1.470244508,0.680038924,gaze,,,,502742.403467 502742.411867 502742.420267 502742.428667 502742.437067 502742.445467 502742.462267 502742.470667 502742.479067 502742.487467 502742.495867 502742.504267 502742.512667 502742.521067 502742.529467 502742.537867 502742.546267 502742.554667 502742.571467 502742.579867 502742.588267 502742.596667 502742.613467 502742.621867 502742.630267 502742.638667 502742.647067 502742.663867 502742.672267 502742.680667 502742.689067 502742.697467 502742.705867 502742.714267 502742.722667 502742.731067 502742.739467 502742.747867 502742.756267
6,502745.5115,445.2,463,475,0.625344966,0.743838642,2.776548912,0.661868363,gaze,,,,502745.511467 502745.519867 502745.528267 502745.536667 502745.545067 502745.553467 502745.570267 502745.578667 502745.587067 502745.595467 502745.603867 502745.612267 502745.620667 502745.629067 502745.637467 502745.645867 502745.654267 502745.662667 502745.671067 502745.679467 502745.696267 502745.704667 502745.713067 502745.721467 502745.729867 502745.738267 502745.746667 502745.755067 502745.763467 502745.771867 502745.780267 502745.788667 502745.797067 502745.805467 502745.813867 502745.822267 502745.830667 502745.839067 502745.847467 502745.855867 502745.864267 502745.872667 502745.881067 502745.889467 502745.897867 502745.906267 502745.914667 502745.923067 502745.931467 502745.939867 502745.956667
7,502746.6371,310.8,493,501,0.701233643,0.220520143,1.290810313,0.771653236,gaze,,,,502746.637067 502746.653867 502746.662267 502746.670667 502746.679067 502746.687467 502746.695867 502746.704267 502746.712667 502746.721067 502746.729467 502746.737867 502746.746267 502746.754667 502746.763067 502746.771467 502746.779867 502746.788267 502746.796667 502746.805067 502746.813467 502746.821867 502746.830267 502746.838667 502746.847067 502746.855467 502746.863867 502746.872267 502746.880667 502746.889067 502746.897467 502746.905867 502746.914267 502746.922667 502746.931067 502746.939467 502746.947867
8,502751.1227,470.4,612,626,0.389489307,0.666965013,2.492352639,0.99954281,gaze,,,,502751.122667 502751.131067 502751.139467 502751.147867 502751.156267 502751.164667 502751.173067 502751.181467 502751.189867 502751.198267 502751.206667 502751.215067 502751.223467 502751.231867 502751.240267 502751.248667 502751.257067 502751.265467 502751.273867 502751.282267 502751.290667 502751.299067 502751.307467 502751.315867 502751.324267 502751.332667 502751.341067 502751.349467 502751.357867 502751.366267 502751.374667 502751.383067 502751.391467 502751.399867 502751.408267 502751.416667 502751.425067 502751.433467 502751.441867 502751.450267 502751.458667 502751.467067 502751.475467 502751.483867 502751.492267 502751.500667 502751.509067 502751.517467 502751.525867 502751.534267 502751.542667 502751.551067 502751.559467 502751.567867 502751.576267 502751.584667 502751.593067
9,502752.7523,327.6,660,670,0.446847623,0.577148064,2.856461453,0.898982091,gaze,,,,502752.752267 502752.760667 502752.769067 502752.777467 502752.785867 502752.794267 502752.802667 502752.811067 502752.819467 502752.827867 502752.836267 502752.844667 502752.853067 502752.861467 502752.869867 502752.878267 502752.886667 502752.895067 502752.903467 502752.911867 502752.920267 502752.928667 502752.937067 502752.945467 502752.953867 502752.962267 502752.970667 502752.979067 502752.987467 502752.995867 502753.004267 502753.021067 502753.029467 502753.037867 502753.046267 502753.054667 502753.063067 502753.071467 502753.079867
10,502755.4067,361.2,740,750,0.43229332,0.54045728,2.944285457,0.882529815,gaze,,,,502755.406667 502755.415067 502755.423467 502755.431867 502755.440267 502755.448667 502755.457067 502755.465467 502755.473867 502755.482267 502755.490667 502755.499067 502755.507467 502755.515867 502755.524267 502755.532667 502755.541067 502755.549467 502755.557867 502755.566267 502755.574667 502755.583067 502755.591467 502755.599867 502755.608267 502755.616667 502755.625067 502755.633467 502755.641867 502755.650267 502755.658667 502755.667067 502755.675467 502755.683867 502755.692267 502755.700667 502755.709067 502755.717467 502755.725867 502755.734267 502755.742667 502755.751067 502755.759467 502755.767867
11,502756.5239,478.8,773,784,0.452217901,0.577648311,2.987735283,0.911418076,gaze,,,,502756.523867 502756.532267 502756.540667 502756.549067 502756.557467 502756.565867 502756.574267 502756.582667 502756.591067 502756.599467 502756.607867 502756.616267 502756.624667 502756.633067 502756.641467 502756.649867 502756.658267 502756.666667 502756.675067 502756.683467 502756.691867 502756.700267 502756.708667 502756.717067 502756.725467 502756.733867 502756.742267 502756.750667 502756.759067 502756.767467 502756.775867 502756.784267 502756.792667 502756.801067 502756.809467 502756.817867 502756.826267 502756.834667 502756.843067 502756.851467 502756.859867 502756.868267 502756.876667 502756.885067 502756.893467 502756.901867 502756.910267 502756.918667 502756.927067 502756.935467 502756.943867 502756.952267 502756.960667 502756.969067 502756.977467 502756.985867 502756.994267 502757.002667
12,502758.0695,302.4,816,825,0.367208872,0.167818828,2.055073543,0.559754831,gaze,,,,502758.069467 502758.077867 502758.086267 502758.094667 502758.103067 502758.111467 502758.119867 502758.128267 502758.136667 502758.145067 502758.153467 502758.161867 502758.170267 502758.178667 502758.187067 502758.195467 502758.203867 502758.212267 502758.220667 502758.229067 502758.237467 502758.245867 502758.254267 502758.262667 502758.271067 502758.279467 502758.287867 502758.296267 502758.304667 502758.313067 502758.321467 502758.329867 502758.338267 502758.346667 502758.355067 502758.363467 502758.371867
13,502759.0775,798,846,870,0.582295713,0.750728118,2.449429487,0.908573602,gaze,,,,502759.077467 502759.085867 502759.094267 502759.102667 502759.111067 502759.119467 502759.127867 502759.136267 502759.144667 502759.153067 502759.161467 502759.169867 502759.178267 502759.186667 502759.195067 502759.203467 502759.211867 502759.220267 502759.228667 502759.237067 502759.245467 502759.253867 502759.262267 502759.270667 502759.279067 502759.287467 502759.295867 502759.304267 502759.312667 502759.321067 502759.329467 502759.337867 502759.346267 502759.354667 502759.363067 502759.371467 502759.379867 502759.388267 502759.396667 502759.405067 502759.413467 502759.421867 502759.430267 502759.438667 502759.447067 502759.455467 502759.463867 502759.472267 502759.480667 502759.489067 502759.497467 502759.505867 502759.514267 502759.522667 502759.531067 502759.539467 502759.547867 502759.556267 502759.564667 502759.573067 502759.581467 502759.589867 502759.598267 502759.606667 502759.615067 502759.623467 502759.631867 502759.640267 502759.648667 502759.657067 502759.665467 502759.673867 502759.682267 502759.690667 502759.699067 502759.707467 502759.715867 502759.724267 502759.732667 502759.741067 502759.749467 502759.757867 502759.766267 502759.774667 502759.783067 502759.791467 502759.799867 502759.808267 502759.816667 502759.825067 502759.833467 502759.841867 502759.850267 502759.858667 502759.867067 502759.875467
14,502761.0515,655.2,905,925,0.696858974,0.214127297,2.742434751,0.782229939,gaze,,,,502761.051467 502761.059867 502761.068267 502761.076667 502761.085067 502761.093467 502761.101867 502761.110267 502761.118667 502761.127067 502761.135467 502761.143867 502761.152267 502761.160667 502761.169067 502761.177467 502761.185867 502761.194267 502761.202667 502761.211067 502761.219467 502761.227867 502761.236267 502761.244667 502761.253067 502761.261467 502761.269867 502761.278267 502761.286667 502761.295067 502761.303467 502761.311867 502761.320267 502761.328667 502761.337067 502761.345467 502761.353867 502761.362267 502761.370667 502761.379067 502761.387467 502761.395867 502761.404267 502761.412667 502761.421067 502761.429467 502761.437867 502761.446267 502761.454667 502761.463067 502761.471467 502761.479867 502761.488267 502761.496667 502761.505067 502761.513467 502761.521867 502761.530267 502761.538667 502761.547067 502761.555467 502761.563867 502761.572267 502761.580667 502761.589067 502761.597467 502761.605867 502761.614267 502761.622667 502761.631067 502761.639467 502761.647867 502761.656267 502761.664667 502761.673067 502761.681467 502761.689867 502761.698267 502761.706667
15,502764.1007,344.4,996,1005,0.434338017,0.561282139,2.974252275,0.530659855,gaze,,,,502764.100667 502764.109067 502764.117467 502764.125867 502764.134267 502764.151067 502764.159467 502764.167867 502764.176267 502764.184667 502764.193067 502764.201467 502764.209867 502764.218267 502764.226667 502764.243467 502764.251867 502764.260267 502764.268667 502764.285467 502764.293867 502764.302267 502764.310667 502764.319067 502764.327467 502764.335867 502764.344267 502764.352667 502764.361067 502764.369467 502764.377867 502764.386267 502764.394667 502764.403067 502764.411467 502764.419867 502764.428267 502764.436667 502764.445067
16,502765.9823,411.6,1050,1062,0.565493228,0.757823148,1.332950959,0.956443429,gaze,,,,502765.982267 502766.007467 502766.015867 502766.024267 502766.032667 502766.041067 502766.049467 502766.057867 502766.066267 502766.074667 502766.083067 502766.091467 502766.099867 502766.108267 502766.116667 502766.125067 502766.133467 502766.141867 502766.150267 502766.158667 502766.167067 502766.175467 502766.183867 502766.192267 502766.200667 502766.209067 502766.217467 502766.225867 502766.234267 502766.242667 502766.251067 502766.259467 502766.267867 502766.276267 502766.284667 502766.293067 502766.301467 502766.309867 502766.318267 502766.326667 502766.335067 502766.343467 502766.351867 502766.360267 502766.368667 502766.377067 502766.385467 502766.393867
17,502767.1499,420,1085,1097,0.405993488,0.514223131,2.836827092,0.559745095,gaze,,,,502767.149867 502767.158267 502767.166667 502767.175067 502767.183467 502767.191867 502767.200267 502767.208667 502767.217067 502767.225467 502767.233867 502767.242267 502767.250667 502767.259067 502767.267467 502767.275867 502767.284267 502767.292667 502767.301067 502767.309467 502767.317867 502767.326267 502767.334667 502767.343067 502767.351467 502767.359867 502767.368267 502767.376667 502767.385067 502767.393467 502767.401867 502767.410267 502767.418667 502767.427067 502767.435467 502767.443867 502767.452267 502767.460667 502767.469067 502767.477467 502767.485867 502767.494267 502767.502667 502767.511067 502767.519467 502767.527867 502767.536267 502767.544667 502767.553067 502767.561467 502767.569867
