id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,225978.5994,210,28,33,0.533515874,0.431966011,2.935168138,0.935889202,gaze,,,,225978.599352 225978.624552 225978.632952 225978.641352 225978.649752 225978.666552 225978.683352 225978.691752 225978.700152 225978.708552 225978.716952 225978.725352 225978.742152 225978.750552 225978.767352 225978.775752 225978.784152 225978.792552 225978.800952 225978.809352
1,225979.6158,344.4,53,61,0.347867579,0.391458169,2.08494264,0.997336009,gaze,,,,225979.615752 225979.640952 225979.649352 225979.657752 225979.666152 225979.682952 225979.691352 225979.699752 225979.724952 225979.733352 225979.741752 225979.750152 225979.758552 225979.775352 225979.792152 225979.800552 225979.808952 225979.817352 225979.834152 225979.842552 225979.850952 225979.867752 225979.876152 225979.892952 225979.901352 225979.909752 225979.918152 225979.934952 225979.943352 225979.951752 225979.960152
2,225980.8338,235.2,84,91,0.584337382,0.081633501,2.591746887,0.698937395,gaze,,,,225980.833752 225980.850552 225980.858952 225980.875752 225980.892552 225980.909352 225980.926152 225980.934552 225980.942952 225980.968152 225981.018552 225981.026952 225981.035352 225981.052152 225981.060552 225981.068952
3,225983.0514,201.6,144,149,0.281321253,0.248142707,2.447737977,0.957694414,gaze,,,,225983.051352 225983.059752 225983.076552 225983.084952 225983.110152 225983.118552 225983.126952 225983.135352 225983.143752 225983.160552 225983.177352 225983.194152 225983.202552 225983.210952 225983.219352 225983.227752 225983.236152 225983.244552 225983.252952
4,225988.3602,210,238,241,0.379555103,0.151088461,2.948735953,0.91914079,gaze,,,,225988.360152 225988.368552 225988.418952 225988.477752 225988.494552 225988.511352 225988.528152 225988.536552 225988.544952 225988.553352 225988.561752 225988.570152
5,225989.595,646.8,263,277,0.526702652,0.536852571,2.593710914,0.952214893,gaze,,,,225989.594952 225989.603352 225989.611752 225989.628552 225989.636952 225989.645352 225989.653752 225989.662152 225989.670552 225989.678952 225989.695752 225989.704152 225989.712552 225989.720952 225989.729352 225989.737752 225989.754552 225989.762952 225989.771352 225989.779752 225989.796552 225989.804952 225989.813352 225989.821752 225989.838552 225989.846952 225989.855352 225989.863752 225989.872152 225989.880552 225989.888952 225989.897352 225989.905752 225989.914152 225989.922552 225989.930952 225989.939352 225989.947752 225989.956152 225989.964552 225989.972952 225989.981352 225989.989752 225989.998152 225990.006552 225990.014952 225990.023352 225990.031752 225990.040152 225990.048552 225990.056952 225990.065352 225990.073752 225990.107352 225990.174552 225990.191352 225990.208152 225990.216552 225990.233352 225990.241752
6,225990.6702,361.2,286,295,0.461770398,0.605666396,2.937465162,0.998841166,gaze,,,,225990.670152 225990.678552 225990.686952 225990.695352 225990.703752 225990.712152 225990.728952 225990.737352 225990.745752 225990.754152 225990.787752 225990.796152 225990.804552 225990.821352 225990.829752 225990.838152 225990.846552 225990.854952 225990.871752 225990.880152 225990.888552 225990.896952 225990.905352 225990.913752 225990.922152 225990.938952 225990.947352 225990.955752 225990.964152 225990.972552 225990.980952 225990.989352 225990.997752 225991.006152 225991.014552 225991.022952 225991.031352
7,225991.7202,252,311,318,0.348370427,0.204084825,1.968723764,0.946082346,gaze,,,,225991.720152 225991.728552 225991.736952 225991.745352 225991.753752 225991.762152 225991.770552 225991.778952 225991.787352 225991.795752 225991.804152 225991.812552 225991.820952 225991.829352 225991.837752 225991.846152 225991.854552 225991.862952 225991.871352 225991.879752 225991.888152 225991.896552 225991.904952 225991.913352 225991.921752 225991.930152 225991.938552 225991.946952 225991.955352 225991.963752 225991.972152
8,225992.8794,218.4,340,346,0.308715412,0.269634162,2.898227706,0.918010195,gaze,,,,225992.879352 225992.887752 225992.896152 225992.904552 225992.912952 225992.929752 225992.938152 225992.946552 225992.954952 225992.963352 225992.971752 225992.980152 225992.988552 225992.996952 225993.005352 225993.013752 225993.022152 225993.030552 225993.038952 225993.047352 225993.055752 225993.064152 225993.072552 225993.080952 225993.089352 225993.097752
9,225996.2226,226.8,414,420,0.388158034,0.18053472,2.84890987,0.907824993,gaze,,,,225996.222552 225996.306552 225996.356952 225996.382152 225996.407352 225996.415752 225996.424152 225996.440952 225996.449352
10,225997.2306,260.4,443,450,0.405636035,0.350674773,2.685305084,0.980291082,gaze,,,,225997.230552 225997.238952 225997.247352 225997.255752 225997.264152 225997.272552 225997.280952 225997.289352 225997.297752 225997.306152 225997.314552 225997.322952 225997.331352 225997.339752 225997.348152 225997.356552 225997.364952 225997.373352 225997.381752 225997.390152 225997.398552 225997.406952 225997.415352 225997.423752 225997.432152 225997.440552 225997.448952 225997.457352 225997.465752 225997.474152 225997.482552 225997.490952
11,225998.5074,210,481,487,0.599441177,0.608153025,2.589813148,0.956183117,gaze,,,,225998.507352 225998.515752 225998.524152 225998.532552 225998.540952 225998.549352 225998.557752 225998.566152 225998.574552 225998.582952 225998.591352 225998.599752 225998.608152 225998.616552 225998.624952 225998.633352 225998.641752 225998.650152 225998.658552 225998.666952 225998.675352 225998.683752 225998.692152 225998.700552 225998.708952 225998.717352
12,225999.801,201.6,519,525,0.411177678,0.386610677,2.945454344,0.984417751,gaze,,,,225999.800952 225999.809352 225999.817752 225999.826152 225999.834552 225999.842952 225999.851352 225999.859752 225999.868152 225999.876552 225999.884952 225999.893352 225999.901752 225999.910152 225999.918552 225999.926952 225999.935352 225999.943752 225999.952152 225999.960552 225999.968952 225999.977352 225999.985752 225999.994152 226000.002552
