id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,77554.5849,100.8,20,22,0.380257149,0.573947824,2.35099013,0.925503323,gaze,,,,77554.584902 77554.593302 77554.601702 77554.610102 77554.618502 77554.626902 77554.643702 77554.652102 77554.660502 77554.668902 77554.677302 77554.685702
1,77555.5929,117.6,42,45,0.341048039,0.421062096,2.713030522,0.641695776,gaze,,,,77555.592902 77555.601302 77555.609702 77555.618102 77555.626502 77555.634902 77555.643302 77555.651702 77555.660102 77555.668502 77555.676902 77555.685302 77555.693702 77555.702102 77555.710502
2,77557.1385,285.6,77,84,0.560104029,0.497783834,2.875887035,0.713810554,gaze,,,,77557.138502 77557.146902 77557.155302 77557.163702 77557.172102 77557.180502 77557.188902 77557.197302 77557.205702 77557.214102 77557.222502 77557.230902 77557.239302 77557.247702 77557.256102 77557.264502 77557.272902 77557.281302 77557.289702 77557.298102 77557.306502 77557.314902 77557.323302 77557.331702 77557.340102 77557.348502 77557.356902 77557.373702 77557.382102 77557.390502 77557.398902 77557.407302 77557.415702 77557.424102
3,77558.1801,151.2,102,106,0.405256915,0.504345836,2.867989297,0.790045823,gaze,,,,77558.180102 77558.188502 77558.196902 77558.205302 77558.213702 77558.222102 77558.230502 77558.238902 77558.247302 77558.255702 77558.264102 77558.272502 77558.280902 77558.289302 77558.297702 77558.306102 77558.314502 77558.322902 77558.331302
4,77559.1881,142.8,126,130,0.509324453,0.519265353,2.881617144,0.805619164,gaze,,,,77559.188102 77559.196502 77559.204902 77559.213302 77559.221702 77559.230102 77559.238502 77559.246902 77559.255302 77559.263702 77559.272102 77559.280502 77559.288902 77559.297302 77559.305702 77559.314102 77559.322502 77559.330902
5,77560.3809,277.2,155,162,0.496346245,0.544532426,1.801096085,0.801561595,gaze,,,,77560.380902 77560.389302 77560.397702 77560.406102 77560.414502 77560.422902 77560.431302 77560.439702 77560.448102 77560.456502 77560.464902 77560.473302 77560.481702 77560.498502 77560.506902 77560.515302 77560.523702 77560.532102 77560.540502 77560.548902 77560.557302 77560.565702 77560.574102 77560.582502 77560.590902 77560.599302 77560.607702 77560.624502 77560.632902 77560.641302 77560.649702 77560.658102
6,77561.6745,235.2,188,194,0.504056307,0.534947392,2.831765537,0.778419024,gaze,,,,77561.674502 77561.666102 77561.657702 77561.649302 77561.640902 77561.632502 77561.682902 77561.691302 77561.699702 77561.708102 77561.716502 77561.724902 77561.733302 77561.741702 77561.750102 77561.758502 77561.766902 77561.775302 77561.783702 77561.792102 77561.800502 77561.808902 77561.817302 77561.825702 77561.834102 77561.842502 77561.850902 77561.859302 77561.867702 77561.876102 77561.884502 77561.892902 77561.901302 77561.909702
7,77562.6741,243.6,212,216,0.524450925,0.520837968,2.014888543,0.767001764,gaze,,,,77562.674102 77562.665702 77562.657302 77562.648902 77562.640502 77562.632102 77562.623702 77562.615302 77562.606902 77562.598502 77562.590102 77562.581702 77562.573302 77562.556502 77562.548102 77562.531302 77562.522902 77562.514502 77562.506102 77562.497702 77562.480902 77562.472502 77562.464102 77562.455702 77562.447302 77562.438902 77562.430502 77562.413702 77562.405302 77562.396902 77562.388502 77562.380102 77562.371702 77562.363302 77562.354902 77562.346502 77562.338102 77562.329702 77562.321302 77562.312902 77562.304502 77562.296102 77562.279302 77562.270902 77562.262502 77562.254102 77562.245702 77562.237302 77562.228902 77562.220502 77562.212102 77562.203702 77562.195302 77562.186902 77562.178502 77562.170102 77562.161702 77562.153302 77562.144902 77562.136502 77562.128102 77562.119702 77562.111302 77562.102902 77562.094502 77562.086102 77562.077702 77562.069302 77562.060902 77562.052502 77562.044102 77562.035702 77562.027302 77562.018902 77562.010502 77562.002102 77561.993702 77561.985302 77561.976902 77561.968502 77561.960102 77561.951702 77561.943302 77561.934902 77561.926502 77561.918102 77562.682502 77562.690902 77562.699302 77562.707702 77562.716102 77562.724502 77562.732902 77562.741302 77562.749702 77562.758102 77562.766502 77562.774902 77562.783302 77562.791702 77562.800102 77562.808502 77562.816902 77562.825302 77562.833702 77562.842102 77562.850502 77562.858902 77562.867302 77562.875702 77562.884102 77562.892502 77562.900902 77562.909302 77562.917702
